RecipeID,heur_s,heur+print_stats_s,heur+map_stime_s,heur+level+area_delay_s,print_stats_overhead_s,map_stime_overhead_s,total_overhead_s
0,,,,,0.000000,0.000000,0.000000
1,,,,,0.000000,0.000000,0.000000
2,,,,,0.000000,0.000000,0.000000
3,,,,,0.000000,0.000000,0.000000
4,,,,,0.000000,0.000000,0.000000
5,,,,,0.000000,0.000000,0.000000
6,,,,,0.000000,0.000000,0.000000
7,,,,,0.000000,0.000000,0.000000
8,,,,,0.000000,0.000000,0.000000
9,,,,,0.000000,0.000000,0.000000
10,,,,,0.000000,0.000000,0.000000
